text,label
do I have holds blocking enrollment,registration_readiness
prerequisite holds on courses I picked,registration_readiness
advisor clearance needed before I register,registration_readiness
financial clearance from bursar for registration holds,registration_readiness
degree audit flags blocking progression,registration_readiness
registration window timing vs holds,registration_readiness
overdue tasks that might block signup,registration_readiness
billing balance registration block hypothetical,registration_readiness
what could stop me registering besides holds,registration_readiness
study blocks around my labs this week template,weekly_schedule
draft weekly structure around work shifts twelve hours weekly,weekly_schedule
where to squeeze review before midterm-heavy week plan,weekly_schedule
balance classes study sleep blocks,weekly_schedule
time blocking commuter study windows,weekly_schedule
priority matrix for coursework this week planner,weekly_schedule
evening shifts plus morning classes weekly rhythm,weekly_schedule
planning study hours per credit heuristic,weekly_schedule
sync tasks and calendar deadlines into weekly plan,weekly_schedule
add advisor meeting calendar event march fifteenth two pm,event_action
create calendar reminder for FAFSA renewal next january,event_action
put study group sunday blocking two hours calendar,event_action
schedule a registration advising appointment placeholder,event_action
bulk create recurring office hours placeholders,event_action
financial aid counselor lens general question,financial_aid
student aid terminology without specific award numbers,financial_aid
balancing loans vs grants conceptual question,financial_aid
deferment vs forbearance high level wording,financial_aid
